Ward_name,Old_code,New_code,Population2015,All_Children_aged_0_15_2015,All_Working_age_16-64_2015,Mean_Age_2013,Area_Square_Kilometres,Population_density_2013,BAME_2011,Not_Born_in_UK_2011,Male_life_expectancy_2009_13,Female_life_expectancy_2009_13 ,Number_Killed_or_Seriously_Injured_on_roads_2014,Employment_rate_16_64_2011,Number_of_jobs_in_area_2013,Median_House_Price_2014,Number_of_properties_sold_2014,Median_Household_income_estimate_2012_13,Number_of_Household_spaces_2011,Households_Social_Rented_2011,Households_Private_Rented_2011,dwellings_in_council_tax_bands_A_or_B_2015,dwellings_in_council_tax_bands_C_D_or_E_2015,dwellings_in_council_tax_bands_F_G_or_H_2015,Claimant_rate_of_key_out_of_work_benefits_working_age_client_group_2014,Claimant_Rate_of_Housing_Benefit_2015,Claimant_Rate_of_Employment_Support_Allowance_2014,Rate_of_JobSeekers_Allowance_JSA_Claimants_2015,Average_GCSE_capped_point_scores_2014,with_Level_4_qualifications_and_above_2011,Crime_rate_2014_15,Violence_against_the_person_rate_2014_15,Deliberate_Fires_per_1000_population_2014,area_that_is_open_space_2014,Average_Public_Transport_Accessibility_score_2014
Barking and Dagenham - Eastbury,00ABGC,E05000031,11900,25.2,65.2,33.4,1.4,8357.1,41.7,32.2,78.9,84.9,5,61.5,1200,220000,105,32870,4321,37.4,17.3,18.9,81.1,0,18.1,16.9,5.7,3.6,315.7,20,82.2,24.9,0.6,17.1,2.7
Barking and Dagenham - Gascoigne,00ABGD,E05000032,15850,32,62.6,29,1.1,12772.7,60.4,48.2,75.5,81.1,2,56.4,2900,200000,87,29480,4711,54,18.3,59.4,40.6,0,19.5,20.1,5.3,4.1,300.7,25.2,75.8,20.3,0.9,20.8,3.2
Barking and Dagenham - Goresbrook,00ABGE,E05000033,11450,25.9,63.2,34.1,1.3,8692.3,33.3,26.8,77.5,82.8,1,63.6,1300,205000,109,33250,4296,37.3,15.8,11.2,88.8,0,18.9,17.7,6.2,3.5,302.2,18.8,74.8,25.8,0.9,14.1,2.5
Barking and Dagenham - Heath,00ABGF,E05000034,11150,26.2,62.3,34.4,2,5475,32.3,24.1,76.5,80.1,3,61.4,3100,215000,105,31340,4418,45.3,11.3,36.2,63.8,0,21.3,19.6,6.7,3.9,297.3,17.6,83.7,24.2,2,36.3,2.7
Barking and Dagenham - Longbridge,00ABGG,E05000035,11900,21.7,66,35.2,1.6,7281.3,57.4,33.3,78.7,85.7,2,65.2,1300,312750,120,40570,3788,13.1,15.3,12.2,80.3,7.5,11.1,7.3,3.1,2.3,337.8,25,57,16.6,0.4,28.3,3.1
Barking and Dagenham - Mayesbrook,00ABGH,E05000036,10550,26.9,62.1,33.9,1.9,5473.7,31.2,25,76.8,83.3,1,61.9,1100,212000,95,31530,3987,38.6,15.6,12.4,87.6,0,19.4,18.2,6.7,3.6,305.4,16.2,67.9,24.4,0.7,44.8,2.5
Barking and Dagenham - Parsloes,00ABGJ,E05000037,10050,25.2,63.7,34.3,1.2,8250,30.9,23.3,76.1,83.5,2,61.5,700,213000,115,31860,3844,36.4,14.1,13.1,86.9,0,19.5,17.1,6.4,4.1,312.2,16,56.8,19.7,0.9,17.4,2.7
Barking and Dagenham - River,00ABGK,E05000038,11950,26.5,63.6,33.4,3.6,3166.7,38.4,30.9,75,78.2,1,64.2,5100,205500,132,33490,4097,25.7,20.6,10.7,89.3,0,16.7,14.6,5.3,3.4,300.2,19.5,85,29.3,1.3,20.5,3
Barking and Dagenham - Thames,00ABGL,E05000039,18950,32.5,62.5,28.7,7.9,1867.1,54.9,37.2,76.2,84,3,60.5,9700,219000,174,32580,4013,44.4,17.5,29.5,70.5,0,18.7,17,4.1,4,307,24.4,95.6,19.8,1.7,43.8,2.1
Barking and Dagenham - Valence,00ABGM,E05000040,10250,25.5,63.2,34.8,1.3,7692.3,31.5,23.3,76.5,80.8,3,63.1,1900,215000,94,33200,3917,37.4,13.8,12.1,87.9,0,21.5,19.1,7.3,2.5,303,17.8,68.3,18.3,0.2,11.8,3.2
Barking and Dagenham - Village,00ABGN,E05000041,11050,24.8,64.1,34.5,2.1,5166.7,34.8,26,75.9,80.9,2,61.7,1200,202500,120,31960,4508,39.9,17.4,50.9,49.1,0,19.1,18.6,2.6,4,301.6,17.9,90.8,29.8,1.1,47,2.7
Barking and Dagenham - Whalebone,00ABGP,E05000042,11150,23.7,64.5,35.3,1.6,6781.3,44,29.2,79.9,87.2,1,67.5,2700,235000,144,37180,4091,12.3,22.3,23.4,76.4,0.2,12.7,10.6,4.1,2.6,310.8,22.4,72.4,20.8,0.5,16,2.9
Barnet - Brunswick Park,00ACFX,E05000043,17550,19.5,64.7,38.9,3.2,5218.8,31.6,30.9,82.3,84.8,0,71.4,3900,435000,193,39800,6186,9,13.2,2.8,74.3,23,8.7,6.3,4.4,1.7,339.3,34.4,49.4,12,0.1,28,2.9
Barnet - Burnt Oak,00ACFY,E05000044,19650,24.3,66.5,33.7,2.1,8857.1,53.5,47.1,76,81.4,8,63.7,2800,250000,153,29400,6511,35.5,22.1,10.3,88.4,1.3,14.9,18,5.5,2.7,313.5,24.7,68.5,27,0.7,18.9,3.6
Barnet - Childs Hill,00ACFZ,E05000045,21100,19.5,67.9,36.1,3.1,6516.1,38.9,51.2,79.4,82.6,6,67.9,7000,507500,230,38960,8045,12.5,39.7,16.8,52.1,31.1,12,13.8,4.9,2.7,335.7,43.7,90.5,22.3,0.1,15.1,4.5
Barnet - Colindale,00ACGA,E05000046,26600,22.8,69.7,32.1,2.6,8250,59.9,52.7,81.8,86,0,61.9,9000,302500,413,30170,6460,34.3,26,16.7,81,2.2,14,17.6,3.6,3.1,307.7,30.8,58.9,16.9,0.2,19.8,2.5
Barnet - Coppetts,00ACGB,E05000047,18050,19.5,69.4,36.3,2.7,6425.9,35,36.1,79.1,81.9,5,71.5,3800,335000,258,38090,7136,13.4,26.7,9.4,70.6,20,10.8,10.3,4.1,2.1,343.5,40.6,75.6,17.1,0.5,40.3,2.9
Barnet - East Barnet,00ACGC,E05000048,17100,20.6,64.6,38.3,3.8,4302.6,23.4,23.4,81,85.2,2,71.5,3700,368000,252,39870,6639,9.8,20.3,4.9,74.2,20.9,9.4,9.1,3.7,1.9,337.4,36.5,44,13.9,0.1,34.8,2.8
Barnet - East Finchley,00ACGD,E05000049,16850,19.2,67.1,37.2,2.5,6440,28.2,34.4,82.2,84.9,1,74.9,4200,437500,172,41160,6805,22.2,25.5,9.3,73.1,17.7,10.3,10.6,3.6,1.6,350.1,49.6,47.5,11.3,0.2,37.8,2.6
Barnet - Edgware,00ACGE,E05000050,17600,22.9,61.6,37.1,5.6,3017.9,39.2,37.4,84,87,2,69,6900,455000,277,38410,6167,15.8,20.9,5.5,54.1,40.3,9.3,10.3,3.4,1.6,326.7,36,71.4,17.2,0.2,54,3
Barnet - Finchley Church End,00ACGF,E05000051,16800,19,64.3,39.1,2.7,5925.9,33.1,40.9,84.2,88.4,5,72.6,6000,528000,244,45030,6508,4.9,30.4,7.6,46.8,45.6,7.3,6.8,2.3,1.6,360.7,48.6,52,9.2,0.2,13.7,2.9
Barnet - Garden Suburb,00ACGG,E05000052,16950,20.3,61.9,39.1,4.7,3436.2,21.4,36,84.9,89,7,73.1,6000,825000,263,53090,6602,4.9,26.7,4.4,34.1,61.5,4.9,5.3,1.4,1.1,368.5,57.3,65.1,11,0.1,24.2,2.7
Barnet - Golders Green,00ACGH,E05000053,24950,25.6,64.3,33,3,7150,34.2,45.8,80.4,82.9,6,66.7,6200,555250,128,40800,6373,13.3,34.7,14,53.5,32.5,12.7,13.6,3.8,2.2,342.1,37.4,61.3,11.3,0.2,14.6,3.4
Barnet - Hale,00ACGJ,E05000054,18250,22.5,63.1,37.1,5.4,3250,40.6,35.7,81.6,85.6,4,70.7,3000,397250,222,38590,6327,13.6,17.9,3.5,77.5,19,9.2,9.4,3.3,1.6,325.6,36.5,46.8,12.2,0.3,48.8,2.6
Barnet - Hendon,00ACGK,E05000055,19300,21.5,66.5,34.9,2.8,6625,36.3,48.2,80.2,84.1,4,66.7,8300,350000,209,38530,7255,12.1,36.6,15.1,62.1,22.8,9.1,10.7,3.3,1.9,352.7,41.3,72.6,19.7,0.4,16.4,2.7
Barnet - High Barnet,00ACGL,E05000056,16300,18.1,64.3,40.7,8.3,1873.5,18.3,22.1,81.8,84.2,4,74.5,6800,419422.5,296,43940,6794,7.7,19.9,6.5,63.7,29.8,7.9,7.1,2.7,1.4,353.4,44.3,56.3,12.6,0.4,47.9,2.7
Barnet - Mill Hill,00ACGM,E05000057,20000,21.9,64.1,37.1,9.4,2010.6,36.1,34.4,83.6,86.7,6,70.5,7300,520000,343,41920,7122,12.8,20.4,4.3,62.3,33.4,8.3,8.3,2.8,1.3,352.8,41.6,62.8,14.7,0.2,59,2.3
Barnet - Oakleigh,00ACGN,E05000058,16650,19.3,63.4,39.8,3.3,4833.3,26.7,28.5,81,84.4,3,73.4,4400,366000,239,41670,6285,7.3,20.3,4.9,55.9,39.1,8.1,7.5,2.7,1.3,346.9,40.7,49.7,11.7,0.1,15.3,3.3
Barnet - Totteridge,00ACGP,E05000059,16900,20.2,62.7,39.6,8.8,1795.5,34.3,37.6,82.5,86.3,3,71.6,5600,627750,182,46150,6029,8.7,22.5,5.7,38.2,56.1,6.3,5.3,2.3,1,368.9,47,39.7,9.2,0.2,57.7,2.5
Barnet - Underhill,00ACGQ,E05000060,17300,19.6,63.7,39.2,4.6,3554.3,27.3,25.4,78.2,83.7,4,68.3,4900,389950,219,37040,6462,25.7,11.3,15.1,69.5,15.4,11.7,11.5,4.5,2.2,320.3,31.8,57.9,17.8,0.4,43.8,2.6
Barnet - West Finchley,00ACGR,E05000061,17500,18.6,68.2,37.5,2.2,7590.9,39.2,44.7,82.2,83.5,7,74.2,8700,385000,193,42050,6862,7.2,36.9,7.7,67.1,25.2,7.9,7.9,2.6,1.5,368.9,49.5,55.2,14.7,0.2,13.4,3.6
Barnet - West Hendon,00ACGS,E05000062,19250,20.6,68.2,35.2,3.4,5279.4,50.6,53.6,80.7,86,10,67.2,9800,346250,158,35090,6465,16.8,32.6,20.7,59.2,20.1,11.4,11.2,4.3,2.1,340.3,34.4,99.9,20.3,0.3,32,3.5
Barnet - Woodhouse,00ACGT,E05000063,18700,18.6,67.6,37.9,2.6,6846.2,37.6,41,81.9,84,2,72,5900,370000,243,38220,7029,11.5,28.6,6.2,73.3,20.5,10.6,10,3.8,1.9,356.7,41.3,69.3,15.9,0.2,19.3,2.9
Bexley - Barnehurst,00ADGA,E05000064,10600,18.7,62,40.8,2.9,3672.4,9.8,8,79.5,85.4,1,75.8,2200,250000,228,38200,4304,10.7,8.3,6.7,88.8,4.5,9.2,5.8,2.9,1.4,326.3,20.1,46.5,15.5,0.4,36,3.1
Bexley - Belvedere,00ADGB,E05000065,12400,23.2,63.9,36.1,3.2,3828.1,28.4,20.4,78.1,86.9,0,70.4,3800,179500,246,33510,4988,16.1,18.6,23.9,74.7,1.4,15.6,12,5.2,2.4,306.1,21.9,62,19.8,1.2,33.1,2.8
Bexley - Blackfen and Lamorbey,00ADGC,E05000066,10700,18.3,62.6,40.5,1.7,6352.9,7.3,7.1,82.9,87.6,0,77.3,1100,280000,182,40780,4233,3.8,8.1,3,91.1,5.9,7,2.9,2.7,1.1,332.8,19.3,28.8,6.9,0.2,9.5,2.1
Bexley - Blendon and Penhill,00ADGD,E05000067,11000,18,62.6,40.5,2.1,5285.7,9.5,7.8,82.6,86.1,1,78.2,1500,275000,208,40340,4335,2.6,8.1,3,83.5,13.5,6.7,3,2.4,0.8,340.1,19.6,37.7,7.6,0.3,13.8,2.1
Bexley - Brampton,00ADGE,E05000068,10600,16.6,60.1,43.2,2,5350,13.1,10.4,82.9,87,1,76.6,1700,315000,146,40790,4232,4.4,5.7,5,88.1,6.9,7.6,2.9,2.4,0.9,325.4,20.7,26.3,6.3,0,9.1,2.7
Bexley - Christchurch,00ADGF,E05000069,11350,18.1,63.3,40.6,2.5,4500,13.4,11.5,80.4,82.8,2,77,8800,275000,197,40190,4568,3.9,14.2,5.8,83.4,10.8,9,5,2.7,1.7,342.9,24.9,97.5,28.5,0.4,17.3,3.4
Bexley - Colyers,00ADGG,E05000070,11400,22.3,62.7,37.3,1.6,7093.8,17.7,12.3,78.3,84.7,0,70.2,800,247000,131,34450,4515,29.4,7,18.4,79.9,1.7,13.7,9.7,5.3,2.3,298.3,18.1,39.5,13.2,0.3,13,2
Bexley - Crayford,00ADGH,E05000071,11950,20.9,64.6,37.7,4,2925,11.7,10,79.5,84.1,2,73.2,7300,231500,264,34900,4840,21.8,10.5,24.8,75,0.2,14.7,10.5,4.8,2,301.4,18.6,62.2,17.1,0.8,41.7,2.1
Bexley - Cray Meadows,00ADGJ,E05000072,11350,20.8,61.5,39.4,7.2,1583.3,11,9.9,79.8,83.6,1,71.4,7200,285000,175,35530,4810,22.8,9.3,14.5,77.6,7.9,14.7,11.2,5.6,1.8,324.9,22.2,54.3,16.4,0.5,61.7,2.3
Bexley - Danson Park,00ADGK,E05000073,11000,18.3,63.8,40.2,2.7,4092.6,16.2,13.2,81.2,83.1,0,75,2800,265750,158,38580,4565,8.9,11.2,8.3,82.8,8.9,9.1,6.1,3.3,1.2,337,21.6,54,15.7,0.6,36.4,2.9
Bexley - East Wickham,00ADGL,E05000074,11000,18.4,62.4,40.5,2.2,5022.7,16.9,13.4,81.3,84.7,1,73.5,1300,259497.5,150,36260,4309,12.6,9.5,8.9,88.6,2.5,10.5,7,3.9,1.5,331.9,18.8,40.5,12.6,0.5,26.8,2.5
Bexley - Erith,00ADGM,E05000075,12800,25.1,63.3,34.9,4.8,2614.6,31.4,23.1,79.2,84.8,1,67.6,6000,181000,171,33160,5093,20.2,20.5,27.8,69.8,2.5,15.8,14.6,6.1,2.9,312.2,22.6,82.3,22.2,1.6,44.6,2.6
Bexley - Falconwood and Welling,00ADGN,E05000076,10950,18.2,65.2,39.6,1.7,6470.6,15.4,12.4,80.3,86.2,2,76.2,1800,280000,180,39000,4251,1.1,9.5,3.8,93.4,2.8,6.6,2.8,2.3,1.1,335.6,19.6,47.7,13.2,0.3,0.7,2.4
Bexley - Lesnes Abbey,00ADGP,E05000077,11450,20.3,63.3,38.8,2.4,4791.7,31,23.3,81.7,84,1,69.7,700,257500,156,35630,4566,21,10.3,29.8,67.5,2.6,12.2,9.6,4.2,2.2,303,22.5,59.8,14.1,1.5,37,2.8
Bexley - Longlands,00ADGQ,E05000078,10600,16.4,62.4,42.2,2.6,4096.2,9.4,9.9,81.4,82.1,3,75.4,3600,250000,240,40880,4617,13.2,10.7,9.3,75.9,14.8,7.9,5.8,2.7,1.2,348.7,27.1,34.2,9.7,0.3,28.9,2.7
Bexley - North End,00ADGR,E05000079,11850,26.7,62.7,33.6,5.7,2070.2,27,18.8,75.6,81.9,1,63.3,3700,204497.5,244,29930,4723,37.4,14.3,29.9,70.1,0,21.4,19.3,6.2,3.9,285.7,19.5,81.2,27.2,2.4,65.3,2.6
Bexley - Northumberland Heath,00ADGS,E05000080,10700,19.5,63.6,39.2,1.8,5972.2,14.5,9.8,79.5,86.1,0,73.6,1800,250000,137,37130,4126,9.3,8.9,10.1,88.1,1.9,11.2,6.6,3.8,1.8,324.8,17.8,42.1,12,0.7,13.6,2.1
Bexley - St. Mary's,00ADGT,E05000081,10550,17.7,59.9,42.4,4.4,2420.5,8.4,8.1,81.8,88.2,3,77.3,2000,315000,183,44010,4390,4.1,9.1,3.9,71.3,24.8,6.4,3,9.7,0.8,358.7,27,33.2,7.9,0.6,46.8,2.6
Bexley - St. Michael's,00ADGU,E05000082,11250,20.4,64,38.2,1.4,8071.4,17.3,11.6,80.5,84.9,3,75.9,1100,280000,161,38510,4073,7,6.1,5.9,92.6,1.5,8.7,4.1,2.9,1.2,327.2,19.1,30,11.3,0,5.9,2.2
Bexley - Sidcup,00ADGW,E05000083,11000,15.9,64.2,41.8,2.7,4092.6,10.1,10.6,80,82.9,1,74,6000,280000,212,41220,4651,6.7,16.6,8.3,67.3,24.4,6.4,4.9,2.1,1.3,347.7,27.2,50.5,14.8,0.2,25.8,3.2
Bexley - Thamesmead East,00ADGX,E05000084,12550,27.8,64.8,32,4.8,2583.3,52.7,38.1,78.3,81.7,1,62.6,4100,190000,91,32100,4925,38.4,19,56.3,43.7,0,15.7,17.9,5.6,3.7,304.6,28.2,54.9,19.7,0.7,70.5,2.6
Brent - Alperton,00AEGJ,E05000085,15300,19.8,70.1,35.3,2.1,7047.6,81.8,66.8,80.8,84.3,3,67.4,9000,249950,103,31250,4444,12.1,29.6,13.3,86.3,0.4,10.1,10.1,3.3,2,318.6,26.2,69.1,21.2,0.3,17.7,3
Brent - Barnhill,00AEGK,E05000086,16250,20.9,66.7,35.8,3,5366.7,69.7,56.5,77.9,80.8,1,64.2,3700,333000,159,34630,5546,26.6,26.2,18.1,61.8,20.1,16.9,14.5,4.8,2.7,321.6,34.7,64.7,21.4,0.1,31.6,3
Brent - Brondesbury Park,00AEGL,E05000087,13300,17.8,69.6,37,1.7,7794.1,43.8,47.2,82.4,85.7,4,71.8,2000,465000,196,40020,5528,21.5,32,6.4,73.2,20.4,12.6,13.4,3.9,2.3,354.6,45,70.8,16.1,0.5,9.7,3.8
Brent - Dollis Hill,00AEGM,E05000088,13650,24.1,63.7,34.8,2.3,5934.8,64.3,54.5,82.3,88.7,6,61.5,6000,306000,135,30990,4357,22.1,23.5,6.2,88.4,5.5,17.6,16.1,5.3,3.8,298.1,25.1,67.3,22.8,0.2,26.6,2.9
Brent - Dudden Hill,00AEGN,E05000089,15750,21.2,68.1,34.7,1.7,9117.6,55.9,56.2,83.9,85.5,5,65.9,3700,495000,135,33470,5324,19.9,34.2,13.7,78.9,7.4,17.7,16.5,4.7,4.1,311.5,31.7,88.2,30.2,0.3,11.6,3.4
Brent - Fryent,00AEGP,E05000090,14150,20.5,66.8,36,2.7,5129.6,62.7,55.9,80.7,83.9,4,66.5,4300,263750,106,35590,4503,13.9,26.8,4.6,88.4,7,9.9,9.9,3.1,1.6,327,29,58.4,18.1,0.4,39.3,2.8
Brent - Harlesden,00AEGQ,E05000091,17500,27.3,63.8,33,1.1,15772.7,67,52.9,78.1,82.9,6,59.3,2200,305500,184,27030,6785,44,30.7,30.4,68.8,0.9,28.8,30,8.3,8.5,304.9,21.4,100.3,37.9,0.2,8.9,3.8
